timestamp,player,ai,result,agent
2025-05-24T16:49:09.499748,r,s,win,Agent32
2025-05-24T16:49:11.633505,p,p,draw,Agent26
2025-05-24T16:49:12.450821,s,p,win,Agent26
2025-05-24T16:49:13.089628,r,p,lose,Agent26
2025-05-24T16:49:13.673381,s,p,win,Agent26
2025-05-24T16:49:14.386944,p,p,draw,Agent26
2025-05-24T16:49:14.790635,s,r,lose,Agent22
2025-05-24T16:49:15.184325,r,r,draw,Agent22
2025-05-24T16:49:15.572495,s,r,lose,Agent22
